"
Nom du Dossier/ Numero de la fiche",LatLong,MRC,Eau Souterraine,Sol,etat ,Date de creation ou date de mise a jour
"6715, avenue Christophe-Colomb a Montreal","45.53964
? -73.60515",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2010
Q : Plage A-B",7/15/11
6727689 Canada inc.,"45.5371401665
? -73.592056214",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)",R : Non terminee,1/27/12
6727689 Canada inc.,"45.5375244585
? -73.5914818543",Ville de Montreal,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b + j)fluoranthene, Benzo(k)fluoranthene, Chrysene, Fluoranthene, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Phenanthrene","Anthracene, Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Dibenzo(a,h)anthracene, Fluoranthene, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Phenanthrene, Pyrene","R : Terminee en 2012
Q : Plage C-D",5/28/15
6727689 Canada inc.,"45.5286796171
? -73.5921161289",Ville de Montreal,,"Cadmium (Cd), etain (Sn), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Manganese (Mn), Plomb (Pb)","R : Terminee en 2013
Q : Plage A-B",2/3/14
"675, avenue Beaumont","45.5268288018
? -73.6202909274",Ville de Montreal,Cuivre (Cu),"Benzene (pot), Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : Plage A-B",3/16/10
6832971 Canada inc.,"45.4787596953
? -73.5734306533",Ville de Montreal,,"Arsenic (As), Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Cadmium (Cd), Cuivre (Cu), Hydrocarbures petroliers C10 a C50, Manganese (Mn)",R : Non terminee,3/24/10
"6923-6929, avenue du Parc","45.5295963069
? -73.6183349877",Ville de Montreal,"Cuivre (Cu), Zinc (Zn)",Hydrocarbures aromatiques polycycliques*,R : Non terminee,5/11/22
"70,72 et 80, rue Prince","45.4964580964
? -73.5546932625",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Soufre total (S)","R : Terminee en 2006
Q : Plage A-B",10/12/11
7145. rue de Cannes,"45.5737055556
? -73.5836861111",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2007
Q : > C",4/20/09
"7187, rue Beauchesne","45.5828877279
? -73.5775544493",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2003
Q : <= B",4/10/03
7210477 Canada inc. et Les Entreprises Guimax,"45.4864479235
? -73.6571083722",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,6/5/14
"7300, boul. Galerie d'Anjou","45.5966666667
? -73.5630555556",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2003
Q : Non precisee",3/12/19
742 Rue William - Lot 1 179 795,"45.6764100236
? -73.4948384072",Ville de Montreal,Zinc (Zn),"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,12/22/21
"75, 1ere Avenue Nord, a Montreal (Roxboro)","45.5014027778
? -73.8110694444",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2014
Q : <= A",7/18/14
7571259 Canada inc.,"45.4725417386
? -73.6260108386",Ville de Montreal,Metaux*,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2011
Q : Plage A-B",7/6/11
7663609 Canada inc.,"45.5211444803
? -73.5833174532",Ville de Montreal,"Benzo(b + j)fluoranthene, Benzo(k)fluoranthene, Fluoranthene","Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Dibenzo(a,h)anthracene, Fluoranthene, Indeno(1,2,3-cd)pyrene, Manganese (Mn), Phenanthrene, Pyrene, Zinc (Zn)","R : Terminee en 2011
Q : Non precisee",4/27/12
7663609 Canada inc.,"45.4699524095
? -73.6113198743",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2014
Q : <= B",1/9/15
7663609 Canada inc. (anc. Joly Radiateurs & Carrosserie ltee),"45.5321805795
? -73.6209655408",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Manganese (Mn), Zinc (Zn)","Cuivre (Cu), etain (Sn), Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2014
Q : <= B",6/2/14
"7691, boul. Lasalle, La Salle","45.4294444444
? -73.5936111111",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2002
Q : <= B",5/28/03
"77, 1ere Avenue Nord, a Montreal (Roxboro)","45.5014027778
? -73.8110694444",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2011
Q : <= A",7/21/14
7733-7743 rue Bourdeau,"45.4314078185
? -73.61099863",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2015
Q : > B (Total)",10/11/17
783613 Canada inc.,"45.5376547212
? -73.590902619",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2016
Q : Non precisee",8/31/16
7997035 Canada inc.,"45.5128166632
? -73.7308064257",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Plomb (Pb)","R : Non necessaire
Q : Non precisee",11/21/12
8241945 Canada inc.,"45.4931503207
? -73.5620346856",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*",R : Non terminee,4/18/16
"8250, rue Bombardier - Pandrol Canada ltee","45.6166083333
? -73.5758833333",Ville de Montreal,Hydrocarbures petroliers C10 a C50,"Hydrocarbures petroliers C10 a C50, Soufre total (S)",R : Non terminee,9/11/14
8298734 Canada inc.,"45.5536992453
? -73.6015835691",Ville de Montreal,Hydrocarbures aromatiques polycycliques*,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2013
Q : <= B",10/22/13
"8301 Marconi, arr. Anjou","45.6158519397
? -73.5736298472",Ville de Montreal,,"Hydrocarbures petroliers C10 a C50, Metaux*","R : Non necessaire
Q : Non precisee",11/26/13
"8560, rue Saint-Hubert","45.548500528
? -73.6338082503",Ville de Montreal,"Chlorure de vinyle (chloroethene), Tetrachloroethene, Xylenes (o,m,p)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Xylenes (o,m,p) (pot)",R : Non terminee,9/12/17
8624852 Canada Inc.,"45.4908220761
? -73.5822128713",Ville de Montreal,Fluoranthene,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2015
Q : <= B",1/16/17
"8900, rue Elmslie - Ancient entrepot de pneus","45.4367338555
? -73.6429241694",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2014
Q : <= C",2/4/15
"8968-8970, rue Airlie","45.4202411298
? -73.6307009279",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*","R : Terminee en 2019
Q : Non precisee",6/5/20
9004-2292 Quebec inc.,"45.5314181653
? -73.6321986036",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2006
Q : Plage B-C",1/23/07
9005-4990 Quebec inc.,"45.6104146703
? -73.5264792446",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2019
Q : <= B",1/27/20
9021-1988 Quebec inc.-Complexe Dompark,"45.4631055018
? -73.595433231",Ville de Montreal,"Cuivre (Cu), Zinc (Zn)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2015
Q : <= C",3/27/17
9036-7236 Quebec inc.,"45.5203342659
? -73.5858143725",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2000
Q : Plage A-B",2/26/01
9049 - 7926 Quebec inc.,"45.4980634147
? -73.5566753183",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2009
Q : > B (Total)",4/26/11
9068-3293 Quebec inc. Division Rosell inc.,"45.5402515525
? -73.6371798802",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 1998
Q : Plage B-C",8/4/00
9071-9964 Quebec inc.,"45.5562446493
? -73.5410260219",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2006
Q : Plage B-C",8/10/06
9077-2450 Quebec inc.,"45.4351194444
? -73.6297388889",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2011
Q : Plage A-B",6/28/12
9080-6001 Quebec inc.,"45.6549722222
? -73.5236444444",Ville de Montreal,Manganese (Mn),"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Metaux*","R : Non necessaire
Q : Non precisee",4/5/18
9082-7858 Quebec inc. (Di Lillo construction),"45.6111524846
? -73.5993123662",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,6/21/07
9087-1195 Quebec inc.,"45.6454961279
? -73.5941513677",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Metaux*","Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2014
Q : <= B",2/23/15
"9100, rue du Parcours, Anjou (Quebec) H1J 2Z1","45.6222349744
? -73.5634164231",Ville de Montreal,,"Cuivre (Cu), Phthalates (chacun)",R : Non terminee,6/26/17
9104-2523 Quebec inc.,"45.551855612
? -73.550287494",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,3/31/14
9104-2523 Quebec inc. - Mondev Construction,"45.5375925027
? -73.5831760377",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2010
Q : <= B",9/25/18
9104-2523 Quebec inc.Lots 4 356 368 a 4356 372,"45.5364194444
? -73.59325",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2009
Q : <= B",5/27/11
9108-4871 Quebec inc. (rue de Rouen),"45.5396194444
? -73.5513888889",Ville de Montreal,"Baryum (Ba), Hydrocarbures aromatiques polycycliques*","Cuivre (Cu), Plomb (Pb), Zinc (Zn)","R : Terminee en 2018
Q : <= C",5/15/20
9108-4913 Quebec inc.,"45.6076630204
? -73.5113913117",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*","R : Terminee en 2008
Q : <= B",8/26/15
9124-7759 Quebec inc.,"45.4347134218
? -73.6831467037",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Metaux*, Phenol","R : Terminee en 2013
Q : <= B",1/28/14
9135-3821 Quebec inc.,"45.5818569525
? -73.6301110387",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,4/20/16
9140-5704 Quebec inc.,"45.5311111111
? -73.6197222222",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Phenol","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2019
Q : <= B",4/5/23
9143-7459 Quebec inc.,"45.4848295155
? -73.5633648637",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,6/30/16
9155-4634 Quebec inc.,"45.5043496377
? -73.7803311149",Ville de Montreal,,,"R : Non necessaire
Q : Non precisee",5/29/13
9164-4971 Quebec inc.,"45.5194444444
? -73.5569444444",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2018
Q : <= B",10/26/18
9166-2841 Quebec inc.,"45.5967097033
? -73.5819576883",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2009
Q : <= C",8/24/15
9173-3840 Quebec inc.,"45.6144024407
? -73.5773568401",Ville de Montreal,,"Biphenyles polychlores (BPC), Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Zinc (Zn)","R : Terminee en 2014
Q : Plage B-C",6/5/14
9189-7744 Quebec inc.,"45.5372290194
? -73.5846590676",Ville de Montreal,"Hydrocarbures aromatiques monocycliques*, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,6/14/16
9191-0919 Quebec inc.,"45.4496311335
? -73.6062154576",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Toluene","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Manganese (Mn)",R : Non terminee,3/17/17
9191-1263 Quebec inc.,"45.5298937075
? -73.6191374584",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques monocycliques * (pot), Plomb (Pb), Xylenes (o,m,p) (pot), Zinc (Zn)","R : Terminee en 2011
Q : <= B",10/21/11
9199-8708 Quebec inc. (Construction Quorum inc.),"45.549480122
? -73.6162243178",Ville de Montreal,"Benzene, Cuivre (Cu), ethylbenzene, Xylenes (o,m,p)","Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Xylenes (o,m,p) (pot)","R : Terminee en 2010
Q : Plage A-B",4/14/11
9200-9471 Quebec inc.,"45.5529347848
? -73.5977624867",Ville de Montreal,,"ethylbenzene (pot), Hydrocarbures petroliers C10 a C50, Methyl naphtalenes (chacun), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2009
Q : <= B",2/15/10
9208-7071 Quebec inc.,"45.5046651137
? -73.7375065565",Ville de Montreal,,"etain (Sn), Nickel (Ni), Plomb (Pb)",R : Non terminee,5/2/18
9215-3667 Quebec inc.,"45.6764100236
? -73.4948384072",Ville de Montreal,,"Benzo(a)anthracene, Benzo(a)pyrene, Benzo(b+j+k)fluoranthene, Benzo(c)phenanthrene, Benzo(g,h,i)perylene, Chrysene, Cuivre (Cu), Dibenzo(a,h)anthracene, Fluoranthene, Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Indeno(1,2,3-cd)pyrene, Methyl naphtalenes (chacun), Nickel (Ni), Phenanthrene, Pyrene, Zinc (Zn)","R : Terminee en 2013
Q : Plage A-B",12/22/21
9222-1613 Quebec inc.,"45.4941147392
? -73.5584515257",Ville de Montreal,"Benzo(b + j)fluoranthene, Benzo(k)fluoranthene, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2014
Q : Non precisee",5/29/19
9222-1613 Quebec inc.,"45.492
? -73.557",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2013
Q : Plage A-B",11/26/13
9222-1613 Quebec inc. (Lot 2 659 534) - Îlot 11,"45.4934394418
? -73.5567129032",Ville de Montreal,,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2018
Q : <= B",4/12/19
9224-0456 Quebec inc.,"45.5561833333
? -73.6682694444",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2011
Q : Plage A-B",7/5/11
"9245-2366 Quebec inc. Projet "" Le Murray""","45.49238
? -73.5595",Ville de Montreal,Metaux*,"Hydrocarbures aromatiques polycycliques*, Metaux*","R : Terminee en 2014
Q : > B (Total)",6/4/15
9252-7605 Quebec inc.,"45.5343890392
? -73.6170254659",Ville de Montreal,"Benzene, ethylbenzene, Xylenes (o,m,p)","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*, Xylenes (o,m,p) (pot)","R : Terminee en 2014
Q : Plage A-B",5/5/15
9257-9762 Quebec inc.,"45.51132836
? -73.6327498582",Ville de Montreal,"Aluminium (Al), Cuivre (Cu)",Hydrocarbures aromatiques monocycliques * (pot),"R : Terminee en 2014
Q : <= B",11/11/15
9267-5735 Quebec inc.,"45.5511
? -73.6549",Ville de Montreal,"ethylbenzene, Xylenes (o,m,p)","Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Manganese (Mn), Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2018
Q : <= B",11/23/18
9269-9388 Quebec inc /H.L. Blachford ltee,"45.4952416667
? -73.5714527778",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,1/20/16
9293-3670 Quebec inc.,"45.4821550123
? -73.5644774023",Ville de Montreal,Cyanure total (CN-),"Hydrocarbures aromatiques polycycliques*, Hydrocarbures chlores*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2017
Q : <= B",2/10/20
9301-2730 Quebec inc - 7001 rue Saint-Jacques Ouest,"45.4576879015
? -73.6320823897",Ville de Montreal,,"Benzene (pot), ethylbenzene (pot), Hydrocarbures aromatiques polycycliques*, Metaux*, Toluene (pot), Xylenes (o,m,p) (pot)","R : Terminee en 2018
Q : <= C",5/17/19
9301-3902 Quebec Inc (lot 5 424 062),"45.494849084
? -73.5730909385",Ville de Montreal,Fluoranthene,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2015
Q : <= B",2/10/20
"9315 boul. Saint-Laurent, Montreal","45.5447222222
? -73.6511111111",Ville de Montreal,,Hydrocarbures aromatiques polycycliques*,"R : Terminee en 2003
Q : Non precisee",1/26/04
9320-6472 Quebec inc.,"45.5044878561
? -73.5623243625",Ville de Montreal,,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","R : Terminee en 2016
Q : > B (Total)",3/13/17
9321306 Canada inc.,"45.6455425708
? -73.5673356497",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,R : Non terminee,7/3/18
9334-3424 Quebec inc. (anc.Teinturerie Perfection Canada inc.),"45.5433276688
? -73.5765942156",Ville de Montreal,"Cadmium (Cd), Cuivre (Cu), Fluoranthene, Nickel (Ni)",Hydrocarbures aromatiques polycycliques*,R : Non terminee,2/1/16
9348-0028 Quebec inc.,"45.48768
? -73.56579",Ville de Montreal,"Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Mercure (Hg)",R : Non terminee,3/8/19
9375-4364 Quebec inc. (avenue Durocher),"45.526651
? -73.615915",Ville de Montreal,"Hydrocarbures petroliers C10 a C50, Metaux*","Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50","R : Terminee en 2019
Q : Non precisee",4/14/20
"94e Avenue, P.A.T","45.6981032891
? -73.4803288476",Ville de Montreal,,"Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50",R : Non terminee,7/13/15
9535 boul. Gouin,"45.5047222222
? -73.7791666667",Ville de Montreal,,Hydrocarbures petroliers C10 a C50,"R : Terminee en 2004
Q : Non precisee",12/17/04
9595988 Canada Inc.,"45.5032495315
? -73.5571446898",Ville de Montreal,Metaux*,"Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,12/2/19
9785 rue Jeanne-mance (Seagate investments Ld),"45.5418813261
? -73.6609422453",Ville de Montreal,"Chlorure de vinyle (chloroethene), Chlorures (Cl-), Hydrocarbures petroliers C10 a C50, Metaux*, Phosphore total (P-PO4-3)","Hydrocarbures aromatiques monocycliques * (pot), Hydrocarbures aromatiques polycycliques*, Hydrocarbures petroliers C10 a C50, Metaux*",R : Non terminee,11/8/21
